author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Theresa Kuchler,Personal Experiences and Expectations about Aggregate Outcomes,New York University,Jan 04 2016,10:15 AM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Behavioral Models of Housing Cycles (G1, R2)",,Charles G. Nathanson,Northwestern University,Nicholas C. Barberis,Yale University,Alvin Murphy,Arizona State University,Christopher J. Mayer,Columbia University,Ulrike Malmendier,University of California-Berkeley,,,Theresa Kuchler,Female,,,,,,NA,NA,NA,NA,NA
Thibault Fally,Firm Heterogeneity in Consumption Baskets: Evidence from Home and Store Scanner Data,University of California-Berkeley,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Globalization, Organization, and Management: Empirical Evidence from Micro Level Data (F2, F6)",,Laura Alfaro,Harvard Business School,Raffaella Sadun,Harvard Business School,David Atkin,Massachusetts Institute of Technology,Claudia Steinwender,Harvard Business School,David Donaldson,Stanford University,,,Thibault Fally,Male,,,,,,NA,NA,NA,NA,NA
Thierry Mayer,From Micro to Macro: Demand and Supply-Side Determinants of the Trade Elasticity,Sciences Po,Jan 05 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Pricing and Quantity Puzzles in International Trade and Macroeconomics (F1, F4)",,Giancarlo Corsetti,University of Cambridge,Robert C. Feenstra,University of California-Davis,Fabio Ghironi,University of Washington,Jonathan Eaton,Brown University,Javier Cravino,University of Michigan,,,Thierry Mayer,Male,Sciences Po Thierry Mayer,,,,,NA,NA,NA,NA,NA
Thierry Verdier,On the Joint Evolution of Culture and Institutions,Paris School of Economics,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 3 & 4",American Economic Association,"Persistence and Culture in Political Economy (Z1, D7)",,Filipe Campante,Harvard University,Saumitra Jha,Stanford University,Noam Yuchtman,University of California-Berkeley,,,,,,,THIERRY VERDIER,Male,,,,,,NA,NA,NA,NA,NA
Thomas Davidoff,Supply Constraints Are Not Valid Instrumental Variables for Home Prices Because They Are Correlated With Many Demand Factors,University of British Columbia,Jan 05 2016,8:00 AM,"Parc 55, Powell I",American Real Estate & Urban Economic Association,"Empirical Methods for Housing Markets (R3, C1)",,Edward Coulson,University of Nevada-Las Vegas,Joshua Gallin,Federal Reserve Board,Tien Foo Sing,National University of Singapore,Jiro Yoshida,Pennsylvania State University,Albert Saiz,Massachusetts Institute of Technology,,,THOMAS DAVIDOFF,Male,,,,,,NA,NA,NA,NA,NA
Thomas Dee,Bias in Online Classes: Evidence from a Field Experiment,Stanford University,Jan 03 2016,8:00 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,"Economics of Higher Education (I2, J7)",,Caroline Hoxby,Stanford University,Bridget Terry Long,Harvard University,Jeffrey Smith,University of Michigan,,,,,,,Thomas Dee,Male,,,,,,NA,NA,NA,NA,NA
Thomas F. Rutherford,A Potential Disintegration of the West Antarctic Ice Sheet (WAIS): Implications for Economic Analyses of Mitigation Strategies,University of Wisconsin-Madison,Jan 03 2016,8:00 AM,"Hilton Union Square, Imperial B",American Economic Association,Valuing Climate Change Catastrophes,Q5,Robert Mendelsohn,Yale University,William Nordhaus,Yale University,James Neumann,Industrial Economics,Charles Kolstad,Stanford University,David Anthoff,University of California-Berkeley,,,Thomas F. Rutherford,Male,Thomas Rutherford,,,,,NA,NA,NA,NA,NA
Thomas Laubach,Financial Stability and Optimal Interest-Rate Policy,Federal Reserve Board,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 13",American Economic Association,Financial Stability,G2,Chiara Scotti,Federal Reserve Board,,,,,,,,,,,THOMAS LAUBACH,Male,,,,,,NA,NA,NA,NA,NA
Thomas Mertens,Currency Manipulation,Federal Reserve Bank of San Francisco,Jan 05 2016,1:00 PM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"International Risks: Pass-Through in Currencies and Capital Flows (F4, F3)",,Christian Lundblad,University of North Carolina,Andreas Stathopoulos,University of Washington,Sylvain Leduc,Federal Reserve Bank of San Francisco,Andrea Vedolin,London School of Economics,Ivan Werning,Massachusetts Institute of Technology,,,Thomas Mertens,Male,,,,,,NA,NA,NA,NA,NA
Thomas Mertens,Not so Disconnected: Exchange Rates and the Capital Stock,New York University,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 17 & 18",American Economic Association,"Exchange Rates, Monetary Policy, and the Real Economy (F3, G1)",,Vania Stavrakeva,London Business School,Vania Stavrakeva,London Business School,Jesse Schreger,Princeton University & Harvard Business School,Adrien Verdelhan,MIT Sloan School of Management,Rossen Valchev,Duke University,,,Thomas Mertens,Male,,,,,,NA,NA,NA,NA,NA
Thomas Noe,The Separation of Firm Ownership and Management: A Reputational Perspective,Said Business School,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 19",Econometric Society,Contracting,A1,Anjan Thakor,Washington University in St. Louis,,,,,,,,,,,Thomas Noe,Male,,,,,,NA,NA,NA,NA,NA
Thomas Piketty,"Distributional National Accounts: Methods and Estimates for the United States, 1913-2013",Paris School of Economics,Jan 05 2016,10:15 AM,"Hilton Union Square, Imperial A",American Economic Association,"Income Inequality, Wealth Inequality and Innovation (E2, J3)",,Peter J. Klenow,Stanford University,John Sabelhaus,Federal Reserve Board,Stefanie Stantcheva,Harvard University,John Van Reenen,London School of Economics,Chad Jones,Stanford University,,,THOMAS PIKETTY,Male,,,,,,NA,NA,NA,NA,NA
Thorsten Drautzburg,Are Startups Special? Evidence from local labor markets,Federal Reserve Bank of Philadelphia,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 15",Econometric Society,"Startups, New Businesses, and Job Creation",A1,Gerald Carlino,Federal Reserve Bank of Philadelphia,Karel Mertens,Cornell University,Benjamin W. Pugsley,Federal Reserve Bank of New York,Francois Gourio,Federal Reserve Bank of Chicago,,,,,Thorsten Drautzburg,Male,,,,,,NA,NA,NA,NA,NA
Thorsten Staake,Overcoming Salience Bias: How Real-Time Feedback Fosters Resource Conservation,University of Bamberg,Jan 04 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Behavioral Interventions and Environmental Sustainability (D1, Q4)",,Matthew E. Kahn,University of California-Los Angeles,Michael K. Price,Georgia State University,Katherine L. Milkman,University of Pennsylvania,Kenneth Gillingham,Yale University,Katrina Jessoe,University of California-Davis,,,Thorsten Staake,Male,,,,,,NA,NA,NA,NA,NA
Tim Jenkinson,How Persistent is Private Equity Performance? Evidence from Deal-Level Data,Oxford University,Jan 03 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 3 & 4",American Finance Association,Private Equity,G2,Victoria Ivashina,Harvard Business School,Arthur Korteweg,University of Southern California,Andrey Malenko,Massachusetts Institute of Technology,Sabrina Howell,New York University,Jules van Binsbergen,University of Pennsylvania,,,Tim Jenkinson,Male,,,,,,NA,NA,NA,NA,NA
Tim Landvoigt,Financial Regulation in a Quantitative Model of the Modern Banking System,University of Texas-Austin,Jan 05 2016,10:15 AM,"Hilton Union Square, Union Square 3 & 4",Econometric Society,Financial Regulation,A1,Amit Seru,University of Chicago,,,,,,,,,,,Tim Landvoigt,Male,,,,,,NA,NA,NA,NA,NA
Tim Landvoigt,Phasing Out the GSEs,University of Texas-Austin,Jan 04 2016,8:00 AM,"Hilton Union Square, Golden Gate 5",American Economic Association,Topics in Banking and Shadow Banks,G2,Gary Richardson,University of California-Irvine,,,,,,,,,,,Tim Landvoigt,Male,,,,,,NA,NA,NA,NA,NA
Timothy Riddiough,One size does not fit all: REIT capital structure and firm value,University of Wisconsin-Madison,Jan 05 2016,10:15 AM,"Parc 55, Powell I",American Real Estate & Urban Economic Association,"Commercial Real Estate (G1, R3)",,Sergey Tsyplakov,University of South Carolina,Tobias Muhlhofer,University of Miami,Yongqiang Chu,University of South Carolina,Svetlana Pevnitskaya,Florida State University,Libo Sun,California State Polytechnic University-Pomona,,,Timothy Riddiough,Male,,,,,,NA,NA,NA,NA,NA
Timothy Riddiough,"A Theory of Subprime Mortgage Lending, with Applications to the Rise and Fall of the Subprime Conduit Market",University of Wisconsin-Madison,Jan 03 2016,10:15 AM,"Parc 55, Powell I",American Real Estate & Urban Economic Association,"Securitization (G2, D5)",,Scott Frame,Federal Reserve Bank of Atlanta,James Wilcox,University of California-Berkeley,Kristopher Gerardi,Federal Reserve Bank of Atlanta,Wayne Passmore,Federal Reserve Board,Craig Furfine,Northwestern University,,,Timothy Riddiough,Male,,,,,,NA,NA,NA,NA,NA
Ting Xu,The Informational Role of Crowdfunding,University of British Columbia,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Entrepreneurial Finance and Crowdfunding,G2,Yael Hochberg,Massachusetts Institute of Technology,David Robinson,Duke University,Shai Bernstein,Stanford University,Ramana Nanda,Harvard University,,,,,Ting Xu,Male,,,,,,NA,NA,NA,NA,NA
Tobias Adrian,Flight-to-Safety in the Nonlinear Risk-Return Tradeoff for Stocks and Bonds,Federal Reserve Bank of New York,Jan 03 2016,8:00 AM,"Marriott Marquis, Nob Hill C & D",American Finance Association,Aggregate Volatility Shocks: Real and Financial Effects,G1,Stefano Giglio,University of Chicago,Helene Rey,London Business School,Eric Ghysels,University of North Carolina,Ian Dew-Becker,Northwestern University,,,,,TOBIAS ADRIAN,Male,,,,,,NA,NA,NA,NA,NA
Tobias Berg,Got Rejected? Real Effects of Not Getting a Loan,Bonn University,Jan 05 2016,1:00 PM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Empirical Studies of Banking,G2,Philip Strahan,Boston College,Greg Nini,Drexel University,Heitor Almeida,University of Illinois-Urbana-Champai,Matthieu Chavaz,Bank of England,,,,,Tobias Berg,Male,,,,,,NA,NA,NA,NA,NA
Todd Gormley,"Playing it Safe? Managerial Preferences, Risk, and Agency Conflicts",University of Pennsylvania,Jan 03 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,CEOs/CFOs/Boards,G3,Carola Frydman,Northwestern University,Geoffrey Tate,University of North Carolina,Dirk Jenter,Stanford University,Joshua Rauh,Stanford University,,,,,Todd Gormley,Male,,,,,,NA,NA,NA,NA,NA
Todd Milbourn,Product Market Peers and Relative Performance Evaluation,Washington University-St. Louis,Jan 03 2016,2:30 PM,"Marriott Marquis, Nob Hill A & B",American Finance Association,Compensation and Agency,G3,Claudia Custodio,Nova School of Business and Economics,Miguel Ferreira,Nova School of Business and Economics,Carola Frydman,Northwestern University,Charles Hadlock,Michigan State University,Kevin Murphy,University of Southern California,,,TODD MILBOURN,Male,,,,,,NA,NA,NA,NA,NA
Tom Kirchmaier,Women in Finance,University of Manchester,Jan 03 2016,8:00 AM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Gender in Corporation Management (G3, J4)",,Marianne Bertrand,University of Chicago,Francisco Perez-Gonzalez,Instituto Tecnológico Autónomo de México,David Yermack,New York University,Carola Frydman,Northwestern University,Glenn Ellison,Massachusetts Institute of Technology,,,Tom Kirchmaier,Male,,,,,,NA,NA,NA,NA,NA
Tom Nicholas,The Mechanics of Endogenous Innovation and Growth: Evidence from Historical U.S. Patents,HBS,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 20",Econometric Society,"Capital, Knowledge and Diffusion on the Path to the Industrial Revolution",A1,Carles Boix,Princeton University,,,,,,,,,,,TOM NICHOLAS,Male,,,,,,NA,NA,NA,NA,NA
Tomasz Wieladek,Financial Protectionism: Further Evidence,Bank of England,Jan 03 2016,10:15 AM,"Marriott Marquis, Pacific C",International Economics & Finance Society,"International Macroeconomics and Finance (F3, F4)",,Nelson C. Mark,University of Notre Dame,,,,,,,,,,,Tomasz Wieladek,Male,,,,,,NA,NA,NA,NA,NA
Tomasz Wieladek,How Does Credit Supply Respond to Monetary Policy and Bank Minimum Capital Requirements?,Bank of England,Jan 05 2016,8:00 AM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"Macroprudential Policy (E5, G2)",,Hyun Song Shin,Bank for International Settlements,Steven Ongena,University of Zurich,James Vickery,Federal Reserve Bank of New York,Ricardo Correa,Federal Reserve Board,Markus K. Brunnermeier,Princeton University,,,Tomasz Wieladek,Male,,,,,,NA,NA,NA,NA,NA
Tommaso Sonno,"Markups, Productivity and the Financial Capability of Firms",IRES-ULC and Bocconi University,Jan 03 2016,2:30 PM,"Parc 55, Market Street",Association for Comparative Economic Studies,"Money’s Too Tight to Mention: Determinants and Effects of Firms’ Financing Constraints (G2, F3)",,Katja Neugebauer,London School of Economics,Katheryn N. Russ,University of California-Davis,Ralph De Haas,EBRD,John Bonin,Wesleyan University,Katja Neugebauer,London School of Economics,,,Tommaso Sonno,Male,,,,,,NA,NA,NA,NA,NA
Tony Zhang,Currency Manipulation,University of Chicago,Jan 05 2016,1:00 PM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"International Risks: Pass-Through in Currencies and Capital Flows (F4, F3)",,Christian Lundblad,University of North Carolina,Andreas Stathopoulos,University of Washington,Sylvain Leduc,Federal Reserve Bank of San Francisco,Andrea Vedolin,London School of Economics,Ivan Werning,Massachusetts Institute of Technology,,,Tony Zhang,Male,,,,,,NA,NA,NA,NA,NA
Tony Zhang,Not so Disconnected: Exchange Rates and the Capital Stock,University of Chicago,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 17 & 18",American Economic Association,"Exchange Rates, Monetary Policy, and the Real Economy (F3, G1)",,Vania Stavrakeva,London Business School,Vania Stavrakeva,London Business School,Jesse Schreger,Princeton University & Harvard Business School,Adrien Verdelhan,MIT Sloan School of Management,Rossen Valchev,Duke University,,,Tony Zhang,Male,,,,,,NA,NA,NA,NA,NA
Torsten Persson,Who Becomes a Politician?,Stockholm University,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 16",Econometric Society,Bureaucrats and Politicians: Experimental and Quasi-Experimental Studies,A1,Johanna Rickne,Research Institute for Industrial Economics,,,,,,,,,,,Torsten Persson,Male,,,,,,NA,NA,NA,NA,NA
Tracy Yue Wang,Corporate Risk Culture,University of Minnesota,Jan 04 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,Behavioral CEOs,G3,Geoffrey Tate,University of North Carolina,Ran Duchin,University of Washington,Mara Faccio,Purdue University,Vikram Nanda,Rutgers University,Tim Loughran,University of Notre Dame,,,Tracy Yue Wang,Female,,,,,,NA,NA,NA,NA,NA
Tracy Yue Wang,The Cultural Origin of Preferences: CEO Cultural Heritage and Corporate Investment,University of Minnesota,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 21",American Economic Association,"The Impact of Culture on Corporate Decisions (G3, Z1)",,Xiaoding Liu,University of Oregon,Jonathan Karpoff,University of Washington,Edward D. Van Wesep,University of Colorado-Boulder,Karl Lins,University of Utah,,,,,Tracy Yue Wang,Female,,,,,,NA,NA,NA,NA,NA
Treb Allen,Optimal City Structure,Northwestern University,Jan 04 2016,10:15 AM,"Marriott Marquis, Sierra B",International Economics & Finance Society,"International Trade, Economic Geography, and Firm Heterogeneity (F1, F2)",,Jeffrey H. Bergstrand,University of Notre Dame,,,,,,,,,,,Treb Allen,Male,,,,,,NA,NA,NA,NA,NA
Treb Allen,"Volatility, Insurance and the Gains from Trade",Northwestern University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 14",Econometric Society,Internal Trade and Economic Integration,A1,Stephen J. Redding,Princeton University,,,,,,,,,,,Treb Allen,Male,,,,,,NA,NA,NA,NA,NA
Trevon Logan,Is the Best Interest of the Child Best for Children? Educational Attainment and Child Custody Assignment,Ohio State University,Jan 03 2016,2:30 PM,"Hilton Union Square, Powell A & B",National Economic Association,"Policy Interventions and Educational Outcomes (I2, I3)",,Ronald Oaxaca,University of Arizona,Marie T. Mora,University of Texas Rio Grande Valley,Lisa D. Cook,Michigan State University,Mark Lopez,Pew Research Center,Omari H. Swinton,Howard University,,,TREVON LOGAN,Male,,,,,,NA,NA,NA,NA,NA
Tyler Shumway,Can Individual Investors Time Bubbles?,University of Michigan,Jan 04 2016,2:30 PM,"Hilton Union Square, Continental – Parlor 3",American Economic Association,Behavioral Finance,G1,Brigitte Madrian,Harvard University,,,,,,,,,,,TYLER SHUMWAY,Male,,,,,,NA,NA,NA,NA,NA
Ufuk Akcigit,The Mechanics of Endogenous Innovation and Growth: Evidence from Historical U.S. Patents,University of Pennsylvania,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 20",Econometric Society,"Capital, Knowledge and Diffusion on the Path to the Industrial Revolution",A1,Carles Boix,Princeton University,,,,,,,,,,,UFUK AKCIGIT,Male,,,,,,NA,NA,NA,NA,NA
